customer_id,month,name,age,occupation,annual_income,num_bank_accounts,num_of_loans,type_of_loans,delay_from_due_date,num_of_delayed_payments,changed_credit_limit,num_credit_inquiries,credit_mix,outstanding_debt,credit_utilization_ratio,credit_history_age,payment_of_min_amount,total_emi_per_month,amount_invested_monthly,payment_behaviour,monthly_balance,credit_score
CUS_0x4080,July,ra Alperx,17,Mechanic,29469.98,7,5,"Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified",58,24.0,26,11.0,Bad,3421.66,33.28,13 Years and 8 Months,Yes,69.69,115.45,Low_spent_Small_value_payments,327.64,Poor
CUS_0x4080,August,ra Alperx,17,Mechanic,29469.98,7,5,"Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified",53,21.0,26,11.0,Bad,3421.66,32.96,13 Years and 9 Months,Yes,69.69,24.07,High_spent_Medium_value_payments,379.03,Poor
CUS_0x706a,July,Matt Falloonz,20,Engineer,72559.36,4,4,"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan",14,19.0,2,1.0,Standard,1173.7,33.17,28 Years and 5 Months,No,215.84,82.5,High_spent_Medium_value_payments,580.13,Standard
CUS_0x706a,August,Matt Falloonz,20,,72559.36,4,4,"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan",15,19.0,-1,5.0,Standard,1173.7,38.17,28 Years and 6 Months,No,215.84,105.72,High_spent_Medium_value_payments,556.9,Standard
CUS_0x571f,July,Emily Flitterl,19,Developer,66567.32,5,2,"Mortgage Loan, and Not Specified",7,15.0,5,0.0,Standard,233.79,26.51,24 Years and 9 Months,No,100.19,66.69,High_spent_Medium_value_payments,663.15,Standard
CUS_0x9bc1,July,Jaisinghanij,43,Architect,20574.47,6,4,"Credit-Builder Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan",1,7.0,13,11.0,Standard,749.95,38.34,11 Years and 5 Months,Yes,49.35,119.27,Low_spent_Large_value_payments,275.43,Standard
CUS_0xc65,August,Pomeroyi,22,Lawyer,148699.32,3,3,"Personal Loan, Mortgage Loan, and Payday Loan",16,8.0,9,1.0,Good,949.38,40.61,31 Years and 2 Months,No,364.92,328.91,High_spent_Medium_value_payments,799.44,Good
CUS_0x8e9b,August,Rachelle Younglaic,16,Entrepreneur,55829.79,10,8,"Student Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Personal Loan, and Payday Loan",30,19.0,23,11.0,Bad,3422.49,37.87,11 Years and 0 Months,Yes,314.9,255.73,Low_spent_Small_value_payments,156.32,Standard
CUS_0x609d,July,Shupingu,28,Architect,14165.23,7,9,"Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Mortgage Loan, Personal Loan, Payday Loan, Payday Loan, Payday Loan, and Student Loan",59,24.0,8,11.0,Bad,2797.17,32.47,14 Years and 5 Months,Yes,58.87,45.63,Low_spent_Medium_value_payments,281.25,Poor
CUS_0x75c6,July,"""John ODonnell""p",31,Teacher,87215.68,2,2,"Auto Loan, and Payday Loan",2,5.0,10,0.0,Good,680.77,30.48,21 Years and 2 Months,No,121.68,169.11,High_spent_Large_value_payments,698.2,Good
CUS_0x75c6,August,"""John ODonnell""p",31,Teacher,87215.68,2,2,"Auto Loan, and Payday Loan",2,8.0,10,0.0,Good,680.77,35.62,21 Years and 3 Months,NM,19734.0,304.2,High_spent_Medium_value_payments,573.11,Good
CUS_0x9b3c,July,Scheydere,44,Lawyer,81842.28,10,9,"Student Loan, Auto Loan, Personal Loan, Auto Loan, Credit-Builder Loan, Payday Loan, Home Equity Loan, Auto Loan, and Personal Loan",20,19.0,10,11.0,Bad,3053.16,24.56,0 Years and 10 Months,Yes,574.07,201.9,Low_spent_Medium_value_payments,185.05,Standard
CUS_0x22a3,July,Nate Raymondj,39,Doctor,95956.5,8,2,"Personal Loan, and Student Loan",23,10.0,11,2.0,Standard,1079.73,28.32,32 Years and 1 Months,NM,95.52,777.6,Low_spent_Medium_value_payments,234.81,Good
CUS_0xb14,August,Edwardk,26,Manager,49967.01,6,6,"Auto Loan, Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Student Loan",27,11.0,19,12.0,Standard,2253.95,31.52,17 Years and 5 Months,Yes,156.0,116.36,High_spent_Medium_value_payments,386.83,Poor
CUS_0xb986,July,Simon Jessope,15,Developer,39887.22,9,5,"Not Specified, Student Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",57,19.0,17,14.0,Bad,3119.6,24.15,12 Years and 11 Months,Yes,133.47,111.67,High_spent_Small_value_payments,337.35,Poor
CUS_0xb986,August,Simon Jessope,15,Developer,39887.22,9,5,"Not Specified, Student Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",57,22.0,17,14.0,Bad,3119.6,34.97,13 Years and 0 Months,NM,133.47,145.94,High_spent_Small_value_payments,303.08,Standard
CUS_0xbe1b,August,Kazunorit,44,Developer,14129.76,8,8,"Student Loan, Payday Loan, Personal Loan, Not Specified, Mortgage Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",62,18.0,5,6.0,Bad,4071.62,35.67,13 Years and 2 Months,NM,70.98,33.38,High_spent_Medium_value_payments,236.16,Poor
CUS_0x4315,August,Christophd,23,Entrepreneur,36822.29,8,4,"Not Specified, Personal Loan, Credit-Builder Loan, and Home Equity Loan",15,19.0,5,5.0,Standard,125.25,39.06,25 Years and 3 Months,No,95.8,251.98,Low_spent_Medium_value_payments,245.47,Good
CUS_0x8f17,July,Ermans,2823,Journalist,41746.76,8,3,"Mortgage Loan, Personal Loan, and Not Specified",59,23.0,9,11.0,Bad,1936.79,23.18,19 Years and 7 Months,Yes,102.28,143.61,Low_spent_Small_value_payments,409.3,Poor
CUS_0x7d0b,August,Isabel Reynoldsb,22,,19981.6,10,7,"Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Student Loan, Student Loan, Home Equity Loan, and Credit-Builder Loan",54,21.0,23,12.0,Bad,4834.59,30.81,10 Years and 9 Months,Yes,78.42,171.64,Low_spent_Small_value_payments,185.86,Poor
CUS_0x7504,August,Laup,19,Lawyer,73737.36,7,4,"Not Specified, Credit-Builder Loan, Payday Loan, and Credit-Builder Loan",20,17.0,13,2.0,Standard,1219.39,37.84,31 Years and 8 Months,Yes,214.81,428.46,Low_spent_Large_value_payments,220.41,Standard
CUS_0x774,August,Christopher Doeringv,34,Musician,88362.46,5,3,"Debt Consolidation Loan, Home Equity Loan, and Personal Loan",15,7.0,11,1251.0,Good,325.93,36.54,31 Years and 3 Months,No,211.18,80.07,High_spent_Large_value_payments,674.3,Good
CUS_0xab76,July,Stempelp,27,Scientist,60162.1,5,7,"Student Loan, Student Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan",18,13.0,14,9.0,Standard,1037.45,25.53,13 Years and 8 Months,Yes,220.21,10000.0,High_spent_Large_value_payments,451.81,Standard
CUS_0xab76,August,Stempelp,27,,60162.1,5,7,"Student Loan, Student Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan",18,10.0,12,9.0,Standard,1037.45,32.08,13 Years and 9 Months,Yes,50812.0,231.77,Low_spent_Medium_value_payments,347.77,Standard
CUS_0x5cdf,July,Wohli,18,Musician,75273.24,8,5,"Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan",50,10.0,17,8.0,Standard,2497.34,33.04,5 Years and 8 Months,Yes,351.37,73.18,High_spent_Medium_value_payments,609.48,Poor
CUS_0x5cdf,August,Wohli,18,Musician,75273.24,8,5,"Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan",50,11.0,12,8.0,Standard,2497.34,39.12,5 Years and 9 Months,Yes,351.37,369.49,Low_spent_Medium_value_payments,343.17,Standard
CUS_0x2184,July,Goldsteinv,19,Media_Manager,54820.89,8,6,"Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, and Personal Loan",41,17.0,18,11.0,Bad,4795.13,35.96,3 Years and 5 Months,NM,169.48,177.13,High_spent_Medium_value_payments,332.93,Standard
CUS_0x2184,August,Goldsteinv,19,Media_Manager,54820.89,8,6,"Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, and Personal Loan",41,17.0,18,11.0,Bad,4795.13,28.2,3 Years and 6 Months,Yes,169.48,118.88,High_spent_Medium_value_payments,391.18,Standard
CUS_0x308b,July,Longstrethy,43,Doctor,45207.54,8,6,"Mortgage Loan, Auto Loan, Personal Loan, Student Loan, Home Equity Loan, and Student Loan",22,20.0,9,9.0,Bad,2497.48,28.69,16 Years and 10 Months,Yes,148.91,154.86,High_spent_Small_value_payments,306.95,Poor
CUS_0xa295,August,Patrick Temple-Westf,39,Engineer,30346.35,5,7,"Auto Loan, Not Specified, Payday Loan, Mortgage Loan, Personal Loan, Payday Loan, and Personal Loan",29,6.0,18,5.0,Standard,523.56,26.31,8 Years and 11 Months,Yes,96.72,29.05,High_spent_Medium_value_payments,389.42,Standard
CUS_0x6c2e,July,Dowsettk,47,Mechanic,18681.46,2,2,"Home Equity Loan, and Student Loan",6,8.0,3,3.0,Good,327.88,37.46,31 Years and 3 Months,No,24.82,32.95,High_spent_Small_value_payments,360.71,Good
CUS_0x6c2e,August,Dowsettk,47,Mechanic,18681.46,2,2,"Home Equity Loan, and Student Loan",6,6.0,3,3.0,Good,327.88,39.54,31 Years and 4 Months,No,24.82,10000.0,Low_spent_Small_value_payments,209.56,Good
CUS_0x384c,July,David Henryp,42,Scientist,9841.34,8,5,"Personal Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan",61,15.0,29,10.0,Bad,4984.82,37.68,4 Years and 11 Months,Yes,36.68,57.49,Low_spent_Medium_value_payments,254.85,Standard
CUS_0x6cbb,July,Oreskovicv,36,Media_Manager,72330.98,0,-100,Auto Loan,1,6.0,4,1.0,Good,596.78,41.98,33 Years and 2 Months,No,44834.0,147.03,High_spent_Large_value_payments,691.65,Standard
CUS_0x6cbb,August,Oreskovicv,36,Media_Manager,72330.98,0,-100,Auto Loan,1,6.0,4,1.0,Good,596.78,24.84,33 Years and 3 Months,No,31.38,301.22,Low_spent_Large_value_payments,567.46,Good
CUS_0x36ab,July,Svea Herbst-Baylisss,1643,Teacher,43241.49,10,6,"Credit-Builder Loan, Mortgage Loan, Auto Loan, Auto Loan, Not Specified, and Home Equity Loan",36,14.0,8,10.0,Bad,2174.16,27.93,12 Years and 8 Months,Yes,460.43,50.83,High_spent_Medium_value_payments,394.98,Standard
CUS_0x36ab,August,Svea Herbst-Baylisss,1643,Teacher,43241.49,10,6,"Credit-Builder Loan, Mortgage Loan, Auto Loan, Auto Loan, Not Specified, and Home Equity Loan",36,17.0,8,10.0,Bad,2174.16,30.6,12 Years and 9 Months,Yes,460.43,94.6,High_spent_Medium_value_payments,351.21,Standard
CUS_0x6856,July,Gellerp,25,Teacher,129067.59,1,-100,"Student Loan, Auto Loan, Auto Loan, and Payday Loan",9,5.0,4,0.0,Good,137.15,25.15,27 Years and 1 Months,No,389.31,717.9,High_spent_Small_value_payments,232.36,Good
CUS_0xa27e,July,Papadimaso,35,Architect,17001.34,6,1,Home Equity Loan,10,21.0,5,2.0,Standard,1093.87,25.36,17 Years and 8 Months,No,10.54,50.59,High_spent_Medium_value_payments,310.35,Standard
CUS_0xa27e,August,Papadimaso,35,Architect,17001.34,6,1,Home Equity Loan,5,20.0,5,2.0,Standard,1093.87,35.03,17 Years and 9 Months,No,10.54,99.29,Low_spent_Small_value_payments,301.65,Standard
CUS_0x700d,August,Blenkinsopc,21,Accountant,44719.17,6,7,"Payday Loan, Auto Loan, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, Auto Loan, and Personal Loan",46,19.0,23,14.0,Bad,3818.57,29.38,13 Years and 6 Months,Yes,248.6,115.76,High_spent_Medium_value_payments,282.6,Poor
CUS_0x78e0,August,Tagarish,48,Accountant,17787.34,8,2,"Student Loan, and Auto Loan",5,15.0,5,0.0,Standard,730.9,30.0,30 Years and 4 Months,No,20.06,31.71,Low_spent_Large_value_payments,342.45,Standard
CUS_0x6794,July,Raymondl,42,Teacher,103353.06,3,1,Student Loan,2,9.0,3,2.0,Good,1374.56,33.0,26 Years and 1 Months,No,64.0,1038.7,Low_spent_Small_value_payments,40.07,Good
CUS_0x6794,August,Raymondl,42,Teacher,103353.06,3,1,Student Loan,4,12.0,3,2.0,Good,1374.56,41.84,26 Years and 2 Months,No,64.0,67.11,High_spent_Large_value_payments,961.67,Good
CUS_0xe2c,July,Andreasc,39,Journalist,31021.24,7,4,"Auto Loan, Auto Loan, Auto Loan, and Personal Loan",16,20.0,11,7.0,Standard,852.81,38.08,33 Years and 4 Months,No,90.76,81.09,Low_spent_Large_value_payments,373.76,Standard
CUS_0x36bb,July,Elinor Comlaye,37,Journalist,134978.24,8,2,"Mortgage Loan, and Mortgage Loan",9,16.0,6,5.0,Standard,668.14,38.75,26 Years and 8 Months,Yes,662.78,780.42,Low_spent_Small_value_payments,470.39,Good
CUS_0xa77f,August,Jeanine Preziosor,29,Writer,39800.12,7,3,"Personal Loan, Payday Loan, and Auto Loan",17,20.0,11,4.0,Standard,660.69,28.62,18 Years and 4 Months,Yes,58.49,274.46,Low_spent_Medium_value_payments,251.82,Standard
CUS_0xa335,July,Lisa Baertleink,22,,66105.4,6,5,"Mortgage Loan, Auto Loan, Not Specified, Student Loan, and Payday Loan",26,22.0,10,12.0,Bad,1549.56,38.65,11 Years and 8 Months,NM,214.07,274.57,Low_spent_Small_value_payments,366.73,Poor
CUS_0x71e0,August,Aruna Viswanathau,29,Mechanic,15398.95,1,4,"Student Loan, Mortgage Loan, Not Specified, and Not Specified",1,1.0,8,8.0,Good,343.84,28.14,28 Years and 10 Months,No,34.81,95.39,Low_spent_Large_value_payments,294.62,Standard
CUS_0x4af0,July,Nicolacih,19,Developer,27070.07,7,4,"Home Equity Loan, Credit-Builder Loan, Student Loan, and Personal Loan",7,13.0,5,6.0,Standard,919.76,37.4,29 Years and 8 Months,No,73.23,190.28,Low_spent_Medium_value_payments,268.37,Standard
CUS_0x259a,August,Allison Martelly,26,Journalist,27865.26,4,1,Student Loan,22,18.0,19,5.0,Standard,635.59,25.69,30 Years and 11 Months,Yes,17.7,117.03,Low_spent_Small_value_payments,415.88,Poor
CUS_0x8643,July,Steve Slatery,34,Musician,14205.09,7,8,"Student Loan, Not Specified, Not Specified, Credit-Builder Loan, Student Loan, Mortgage Loan, Not Specified, and Student Loan",33,19.0,19,16.0,Bad,4845.24,32.72,13 Years and 10 Months,Yes,49.03,90.17,Low_spent_Small_value_payments,259.48,Standard
CUS_0x3f04,August,Jenniferu,25,,43758.34,5,2,"Personal Loan, and Payday Loan",11,2.0,4,2.0,Good,1194.28,35.74,33 Years and 8 Months,No,56.31,364.24,Low_spent_Small_value_payments,214.9,Good
CUS_0x62c6,August,B.u,21,Writer,144881.68,3,4,"Student Loan, Debt Consolidation Loan, Credit-Builder Loan, and Home Equity Loan",3,12.0,10,2.0,Standard,404.51,37.54,26 Years and 4 Months,Yes,414.66,553.27,High_spent_Small_value_payments,479.82,Standard
CUS_0x398d,July,Leongy,39,Media_Manager,108147.3,3,4,"Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Student Loan",13,20.0,3,2.0,Standard,1113.06,28.12,29 Years and 3 Months,Yes,211.18,366.43,High_spent_Medium_value_payments,565.02,Good
CUS_0x398d,August,Leongy,39,Media_Manager,108147.3,3,4,"Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Student Loan",14,20.0,7,2.0,Standard,1113.06,35.89,29 Years and 4 Months,Yes,37514.0,946.16,Low_spent_Small_value_payments,25.29,Good
CUS_0x618b,July,Vaughano,28,Lawyer,17759.1,6,5,"Student Loan, Personal Loan, Home Equity Loan, Home Equity Loan, and Auto Loan",24,23.0,10,10.0,Bad,3598.39,26.5,5 Years and 3 Months,Yes,64.55,170.52,Low_spent_Small_value_payments,208.32,Poor
CUS_0x618b,August,Vaughano,28,Lawyer,17759.1,6,5,"Student Loan, Personal Loan, Home Equity Loan, Home Equity Loan, and Auto Loan",26,20.0,5,10.0,Bad,3598.39,28.18,5 Years and 4 Months,Yes,64.55,123.08,Low_spent_Medium_value_payments,245.76,Poor
CUS_0x7250,July,Doris Frankelj,38,Teacher,85328.73,3,1,Student Loan,12,17.0,1,2.0,Good,585.05,25.72,32 Years and 1 Months,NM,68.46,440.18,Low_spent_Small_value_payments,467.23,Good
CUS_0x6435,July,Alexei Oreskovicf,27,Writer,134321.44,3,4,"Student Loan, Student Loan, Debt Consolidation Loan, and Mortgage Loan",26,19.0,12,3.0,Standard,1428.68,24.29,33 Years and 2 Months,Yes,1320.55,530.82,High_spent_Small_value_payments,581.94,Good
CUS_0x6435,August,Alexei Oreskovicf,27,Writer,134321.44,3,4,"Student Loan, Student Loan, Debt Consolidation Loan, and Mortgage Loan",29,20.0,11,3.0,Standard,1428.68,35.52,33 Years and 3 Months,NM,1320.55,209.52,High_spent_Medium_value_payments,893.24,Standard
CUS_0x35b5,July,Andrewm,19,Lawyer,56803.71,7,6,"Mortgage Loan, Student Loan, Student Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",44,23.0,16,11.0,Bad,2593.44,34.32,6 Years and 3 Months,Yes,187.19,199.85,Low_spent_Medium_value_payments,355.02,Poor
CUS_0x2c0d,July,ernieh,56,Doctor,8908998.0,1,3,"Debt Consolidation Loan, Debt Consolidation Loan, and Credit-Builder Loan",13,9.0,3,2.0,Good,339.11,34.29,16 Years and 10 Months,No,39.21,93.06,Low_spent_Small_value_payments,348.22,Poor
CUS_0x2c0d,August,ernieh,56,Doctor,19403.4,1,3,"Debt Consolidation Loan, Debt Consolidation Loan, and Credit-Builder Loan",13,10.0,-1,2.0,Good,339.11,38.37,16 Years and 11 Months,No,39.21,214.82,Low_spent_Small_value_payments,226.46,Poor
CUS_0x2813,August,John McCrankg,20,Architect,15015.4,5,1,Debt Consolidation Loan,27,8.0,5,1.0,Good,330.17,28.38,22 Years and 2 Months,No,11.69,162.58,Low_spent_Small_value_payments,237.07,Standard
CUS_0xac93,August,Hornbyg,35,Engineer,19777.05,5,3,"Student Loan, Debt Consolidation Loan, and Auto Loan",19,3.0,5,1.0,Good,186.16,38.14,22 Years and 2 Months,No,29.05,65.38,Low_spent_Medium_value_payments,358.39,Poor
CUS_0x8c69,July,Toonkelf,25,Musician,20188.02,4,3,"Mortgage Loan, Student Loan, and Mortgage Loan",9,6.0,1,0.0,Good,399.92,24.02,20 Years and 8 Months,No,25.58,50.97,High_spent_Medium_value_payments,358.59,Good
CUS_0x8c69,August,Toonkelf,25,Musician,9351702.0,4,3,"Mortgage Loan, Student Loan, and Mortgage Loan",9,6.0,1,0.0,Good,399.92,36.1,20 Years and 9 Months,No,25.58,101.35,High_spent_Small_value_payments,318.2,Good
CUS_0x7586,July,Stevee,32,Engineer,55151.04,10,-100,"Auto Loan, Auto Loan, Credit-Builder Loan, Not Specified, Not Specified, and Not Specified",29,19.0,10,9.0,Bad,1743.83,37.18,12 Years and 8 Months,Yes,171.82,112.55,High_spent_Medium_value_payments,436.12,Poor
CUS_0x9c67,July,Mariy,3765,Manager,2547968.0,6,2,"Auto Loan, and Auto Loan",19,10.0,5,4.0,Standard,687.87,30.44,15 Years and 10 Months,Yes,42.97,10000.0,Low_spent_Large_value_payments,366.64,Poor
